Tasks, Cycles, Workers, Time
10, 10000, 107, 18971575
10, 10000, 108, 17328174
10, 10000, 109, 15961308
10, 10000, 110, 16386204
10, 10000, 111, 17694977
10, 10000, 112, 16342574
10, 100000, 1, 506208290
10, 100000, 2, 269707666
10, 100000, 3, 188101437
10, 100000, 4, 136860651
10, 100000, 5, 112238800
10, 100000, 6, 92202936
10, 100000, 7, 91067662
10, 100000, 8, 77311710
10, 100000, 9, 66113899
10, 100000, 10, 58553800
10, 100000, 11, 56468647
10, 100000, 12, 55384675
10, 100000, 13, 55131145
10, 100000, 14, 51358060
10, 100000, 15, 52733026
10, 100000, 16, 51513957
10, 100000, 17, 49209604
10, 100000, 18, 53506623
10, 100000, 19, 52903563
10, 100000, 20, 50295767
10, 100000, 21, 52460489
10, 100000, 22, 54586488
10, 100000, 23, 52780856
10, 100000, 24, 54216029
10, 100000, 25, 53110620
10, 100000, 26, 51063625
10, 100000, 27, 50462253
10, 100000, 28, 56614965
10, 100000, 29, 54850644
10, 100000, 30, 54145506
10, 100000, 31, 63225969
10, 100000, 32, 62133362
10, 100000, 33, 56089451
10, 100000, 34, 57710543
10, 100000, 35, 52047240
10, 100000, 36, 56255898
10, 100000, 37, 59307206
10, 100000, 38, 59772474
10, 100000, 39, 58686138
10, 100000, 40, 61592053
10, 100000, 41, 61418930
10, 100000, 42, 56486124
10, 100000, 43, 58647775
10, 100000, 44, 61734666
10, 100000, 45, 58160251
10, 100000, 46, 58477005
10, 100000, 47, 59045816
10, 100000, 48, 58764545
10, 100000, 49, 55358221
10, 100000, 50, 53553824
10, 100000, 51, 58152843
10, 100000, 52, 59416592
10, 100000, 53, 59654628
10, 100000, 54, 69862976
10, 100000, 55, 59595933
10, 100000, 56, 63879335
10, 100000, 57, 66435218
10, 100000, 58, 66714852
10, 100000, 59, 58994527
10, 100000, 60, 60348940
10, 100000, 61, 60488654
10, 100000, 62, 62261887
10, 100000, 63, 59471291
10, 100000, 64, 59426646
10, 100000, 65, 61845997
10, 100000, 66, 64315478
10, 100000, 67, 59369584
10, 100000, 68, 55269525
10, 100000, 69, 61256199
10, 100000, 70, 55301789
10, 100000, 71, 55683826
10, 100000, 72, 57345237
10, 100000, 73, 60475451
10, 100000, 74, 57307463
10, 100000, 75, 56055718
10, 100000, 76, 57351617
10, 100000, 77, 57267806
10, 100000, 78, 56405684
10, 100000, 79, 53038044
10, 100000, 80, 54720271
10, 100000, 81, 60347311
10, 100000, 82, 57322427
10, 100000, 83, 58792549
10, 100000, 84, 58861995
10, 100000, 85, 63238838
10, 100000, 86, 61581921
10, 100000, 87, 61390382
10, 100000, 88, 60620533
10, 100000, 89, 61007535
10, 100000, 90, 63210253
10, 100000, 91, 55307258
10, 100000, 92, 55568567
10, 100000, 93, 56663668
10, 100000, 94, 55560776
10, 100000, 95, 61584147
10, 100000, 96, 58219356
10, 100000, 97, 60913363
10, 100000, 98, 57257973
10, 100000, 99, 55640149
10, 100000, 100, 59431534
10, 100000, 101, 59645550
10, 100000, 102, 58894033
10, 100000, 103, 58501226
10, 100000, 104, 55394478
10, 100000, 105, 53822437
10, 100000, 106, 60081959
10, 100000, 107, 65304210
10, 100000, 108, 62676451
10, 100000, 109, 63101251
10, 100000, 110, 56402678
10, 100000, 111, 58763349
10, 100000, 112, 59801957
100, 10, 1, 10184524
100, 10, 2, 12205252
100, 10, 3, 15911202
100, 10, 4, 16321509
100, 10, 5, 20099132
100, 10, 6, 20133529
100, 10, 7, 20907920
100, 10, 8, 19244339
100, 10, 9, 19696030
100, 10, 10, 19543739
100, 10, 11, 19204901
100, 10, 12, 18404685
100, 10, 13, 20436295
100, 10, 14, 20119682
100, 10, 15, 20585639
100, 10, 16, 21016055
100, 10, 17, 19106683
100, 10, 18, 19828701
100, 10, 19, 20314498
100, 10, 20, 20740585
100, 10, 21, 21449171
100, 10, 22, 22027490
100, 10, 23, 22324090
100, 10, 24, 22093940
100, 10, 25, 20874026
100, 10, 26, 22719363
100, 10, 27, 22743973
100, 10, 28, 22693425
100, 10, 29, 22751124
100, 10, 30, 22406517
100, 10, 31, 23016670
100, 10, 32, 23817416
100, 10, 33, 22615333
100, 10, 34, 22698993
100, 10, 35, 25037418
100, 10, 36, 24209757
100, 10, 37, 26330164
100, 10, 38, 24193343
100, 10, 39, 27109267
100, 10, 40, 24366398
100, 10, 41, 26338371
100, 10, 42, 24927739
100, 10, 43, 26022885
100, 10, 44, 25861171
100, 10, 45, 26529227
100, 10, 46, 24259069
100, 10, 47, 26288765
100, 10, 48, 24799701
100, 10, 49, 25982026
100, 10, 50, 26176556
100, 10, 51, 24909957
100, 10, 52, 26066255
100, 10, 53, 25585965
100, 10, 54, 25843497
100, 10, 55, 30329950
100, 10, 56, 26661893
100, 10, 57, 26096126
100, 10, 58, 31416440
100, 10, 59, 31864572
100, 10, 60, 30722342
100, 10, 61, 27609670
100, 10, 62, 30341316
100, 10, 63, 27546912
100, 10, 64, 25661657
100, 10, 65, 27001142
100, 10, 66, 28122632
100, 10, 67, 26356227
100, 10, 68, 26636183
100, 10, 69, 32406129
100, 10, 70, 33036078
100, 10, 71, 33686725
100, 10, 72, 26966510
100, 10, 73, 32689028
100, 10, 74, 31126460
100, 10, 75, 30993050
100, 10, 76, 30913150
100, 10, 77, 27753965
100, 10, 78, 30407101
100, 10, 79, 27521209
100, 10, 80, 27103780
100, 10, 81, 27258531
100, 10, 82, 27552497
100, 10, 83, 30752943
100, 10, 84, 29871838
100, 10, 85, 30605541
100, 10, 86, 28213884
100, 10, 87, 30746159
100, 10, 88, 30915316
100, 10, 89, 32232399
100, 10, 90, 31945617
100, 10, 91, 28186525
100, 10, 92, 28787343
100, 10, 93, 28410069
100, 10, 94, 31003769
100, 10, 95, 28940286
100, 10, 96, 32499832
100, 10, 97, 28541244
100, 10, 98, 28167769
100, 10, 99, 30104031
100, 10, 100, 28455271
100, 10, 101, 31108888
100, 10, 102, 30720033
100, 10, 103, 28348681
100, 10, 104, 35238556
100, 10, 105, 32998037
100, 10, 106, 28236992
100, 10, 107, 33137278
100, 10, 108, 30928807
100, 10, 109, 31047689
100, 10, 110, 27869835
100, 10, 111, 31626643
100, 10, 112, 27178494
100, 100, 1, 24395391
100, 100, 2, 15206119
100, 100, 3, 13923153
100, 100, 4, 14665904
100, 100, 5, 19854829
100, 100, 6, 17563014
100, 100, 7, 18340067
100, 100, 8, 18499912
100, 100, 9, 20905988
100, 100, 10, 18569386
100, 100, 11, 17145045
100, 100, 12, 19959996
100, 100, 13, 18733184
100, 100, 14, 20765851
100, 100, 15, 20561905
100, 100, 16, 19822563
100, 100, 17, 19921829
100, 100, 18, 19887861
100, 100, 19, 20856485
100, 100, 20, 22024060
100, 100, 21, 21831947
100, 100, 22, 21855967
100, 100, 23, 22516536
100, 100, 24, 21424390
100, 100, 25, 21781555
100, 100, 26, 23294899
100, 100, 27, 22137415
100, 100, 28, 21117580
100, 100, 29, 22995954
100, 100, 30, 23824046
100, 100, 31, 21486760
100, 100, 32, 23115836
100, 100, 33, 23327869
100, 100, 34, 25276822
100, 100, 35, 21805629
100, 100, 36, 24299410
100, 100, 37, 25907803
100, 100, 38, 24761119
100, 100, 39, 25731636
100, 100, 40, 25022609
100, 100, 41, 25807344
100, 100, 42, 25359835
100, 100, 43, 25653204
100, 100, 44, 31742115
